county,correction,correct_death
Alamance,-34,54
Alexander,-15,31
Alleghany,-6,8
Anson,-3,28
Ashe,-4,31
Avery,-23,41
Beaufort,-51,5
Bertie,-15,34
Bladen,-6,20
Brunswick,-4,21
Buncombe,-6,9
Burke,-18,26
Cabarrus,-3,18
Caldwell,-10,78
Camden,-89,9
Carteret,-8,34
Caswell,-8,18
Catawba,-9,-4
Chatham,-8,55
Cherokee,-27,45
Chowan,-20,29
Clay,-13,17
Cleveland,-4,12
Columbus,-11,26
Craven,-10,25
Cumberland,0,22
Currituck,-5,32
Dare,-23,18
Davidson,-17,24
Davie,-2,25
Duplin,-11,50
Durham,-38,16
Edgecombe,-4,34
Forsyth,-5,19
Franklin,-15,24
Gaston,-13,-22
Gates,-17,13
Graham,-15,11
Granville,-149,34
Greene,-19,20
Guilford,-22,17
Halifax,-4,28
Harnett,-4,21
Haywood,-4,49
Henderson,-11,43
Hertford,-12,24
Hoke,-1,33
Hyde,-15,13
Iredell,-4,24
Jackson,-12,33
Johnston,-2,43
Jones,-67,-1
Lee,-8,42
Lenoir,-12,-16
Lincoln,-9,64
Macon,-24,43
Madison,-22,31
Martin,-6,36
McDowell,-30,28
Mecklenburg,-14,2
Mitchell,-27,26
Montgomery,-25,33
Moore,-94,42
Nash,-27,19
New Hanover,-12,20
Northampton,-74,24
Onslow,-17,24
Orange,-37,25
Pamlico,-16,16
Pasquotank,-15,42
Pender,-18,1
Perquimans,-8,4
Person,-2,19
Pitt,-35,50
Polk,-17,24
Randolph,-2,16
Richmond,0,37
Robeson,-98,10
Rockingham,-5,17
Rowan,1,-25
Rutherford,-20,-50
Sampson,-12,22
Scotland,0,24
Stanly,-6,103
Stokes,-6,21
Surry,-7,50
Swain,-38,20
Transylvania,-35,22
Tyrrell,-8,7
Union,-1,18
Vance,-8,38
Wake,-21,10
Warren,-8,23
Washington,-8,21
Watauga,-20,52
Wayne,-1,20
Wilkes,0,20
Wilson,-6,64
Yadkin,-1,64
Yancey,-17,18
